row_id,date,country,store,product,num_sold
5424,5424,2017-04-24,Belgium,KaggleMart,Kaggle Advanced Techniques,440.0
5472,5472,2017-04-25,Belgium,KaggleMart,Kaggle Advanced Techniques,469.0
5520,5520,2017-04-26,Belgium,KaggleMart,Kaggle Advanced Techniques,448.0
5568,5568,2017-04-27,Belgium,KaggleMart,Kaggle Advanced Techniques,367.0
5616,5616,2017-04-28,Belgium,KaggleMart,Kaggle Advanced Techniques,480.0
5664,5664,2017-04-29,Belgium,KaggleMart,Kaggle Advanced Techniques,503.0
5712,5712,2017-04-30,Belgium,KaggleMart,Kaggle Advanced Techniques,484.0
5760,5760,2017-05-01,Belgium,KaggleMart,Kaggle Advanced Techniques,429.0
5808,5808,2017-05-02,Belgium,KaggleMart,Kaggle Advanced Techniques,440.0
5856,5856,2017-05-03,Belgium,KaggleMart,Kaggle Advanced Techniques,481.0
5904,5904,2017-05-04,Belgium,KaggleMart,Kaggle Advanced Techniques,495.0
5952,5952,2017-05-05,Belgium,KaggleMart,Kaggle Advanced Techniques,560.0
6000,6000,2017-05-06,Belgium,KaggleMart,Kaggle Advanced Techniques,559.0
6048,6048,2017-05-07,Belgium,KaggleMart,Kaggle Advanced Techniques,537.0
6096,6096,2017-05-08,Belgium,KaggleMart,Kaggle Advanced Techniques,442.0
6144,6144,2017-05-09,Belgium,KaggleMart,Kaggle Advanced Techniques,428.0
6192,6192,2017-05-10,Belgium,KaggleMart,Kaggle Advanced Techniques,453.0
6240,6240,2017-05-11,Belgium,KaggleMart,Kaggle Advanced Techniques,418.0
6288,6288,2017-05-12,Belgium,KaggleMart,Kaggle Advanced Techniques,456.0
6336,6336,2017-05-13,Belgium,KaggleMart,Kaggle Advanced Techniques,471.0
6384,6384,2017-05-14,Belgium,KaggleMart,Kaggle Advanced Techniques,505.0
6432,6432,2017-05-15,Belgium,KaggleMart,Kaggle Advanced Techniques,406.0
6480,6480,2017-05-16,Belgium,KaggleMart,Kaggle Advanced Techniques,421.0
6528,6528,2017-05-17,Belgium,KaggleMart,Kaggle Advanced Techniques,424.0
6576,6576,2017-05-18,Belgium,KaggleMart,Kaggle Advanced Techniques,400.0
6624,6624,2017-05-19,Belgium,KaggleMart,Kaggle Advanced Techniques,454.0
6672,6672,2017-05-20,Belgium,KaggleMart,Kaggle Advanced Techniques,455.0
6720,6720,2017-05-21,Belgium,KaggleMart,Kaggle Advanced Techniques,507.0
6768,6768,2017-05-22,Belgium,KaggleMart,Kaggle Advanced Techniques,422.0
6816,6816,2017-05-23,Belgium,KaggleMart,Kaggle Advanced Techniques,384.0
6864,6864,2017-05-24,Belgium,KaggleMart,Kaggle Advanced Techniques,412.0
6912,6912,2017-05-25,Belgium,KaggleMart,Kaggle Advanced Techniques,439.0
6960,6960,2017-05-26,Belgium,KaggleMart,Kaggle Advanced Techniques,441.0
7008,7008,2017-05-27,Belgium,KaggleMart,Kaggle Advanced Techniques,551.0
7056,7056,2017-05-28,Belgium,KaggleMart,Kaggle Advanced Techniques,546.0
7104,7104,2017-05-29,Belgium,KaggleMart,Kaggle Advanced Techniques,461.0
7152,7152,2017-05-30,Belgium,KaggleMart,Kaggle Advanced Techniques,500.0
7200,7200,2017-05-31,Belgium,KaggleMart,Kaggle Advanced Techniques,441.0
7248,7248,2017-06-01,Belgium,KaggleMart,Kaggle Advanced Techniques,387.0
7296,7296,2017-06-02,Belgium,KaggleMart,Kaggle Advanced Techniques,429.0
7344,7344,2017-06-03,Belgium,KaggleMart,Kaggle Advanced Techniques,478.0
7392,7392,2017-06-04,Belgium,KaggleMart,Kaggle Advanced Techniques,474.0
7440,7440,2017-06-05,Belgium,KaggleMart,Kaggle Advanced Techniques,401.0
7488,7488,2017-06-06,Belgium,KaggleMart,Kaggle Advanced Techniques,424.0
7536,7536,2017-06-07,Belgium,KaggleMart,Kaggle Advanced Techniques,445.0
7584,7584,2017-06-08,Belgium,KaggleMart,Kaggle Advanced Techniques,426.0
7632,7632,2017-06-09,Belgium,KaggleMart,Kaggle Advanced Techniques,479.0
7680,7680,2017-06-10,Belgium,KaggleMart,Kaggle Advanced Techniques,563.0
7728,7728,2017-06-11,Belgium,KaggleMart,Kaggle Advanced Techniques,523.0
7776,7776,2017-06-12,Belgium,KaggleMart,Kaggle Advanced Techniques,435.0
7824,7824,2017-06-13,Belgium,KaggleMart,Kaggle Advanced Techniques,423.0
7872,7872,2017-06-14,Belgium,KaggleMart,Kaggle Advanced Techniques,411.0
7920,7920,2017-06-15,Belgium,KaggleMart,Kaggle Advanced Techniques,417.0
7968,7968,2017-06-16,Belgium,KaggleMart,Kaggle Advanced Techniques,406.0
8016,8016,2017-06-17,Belgium,KaggleMart,Kaggle Advanced Techniques,446.0
8064,8064,2017-06-18,Belgium,KaggleMart,Kaggle Advanced Techniques,456.0
8112,8112,2017-06-19,Belgium,KaggleMart,Kaggle Advanced Techniques,402.0
8160,8160,2017-06-20,Belgium,KaggleMart,Kaggle Advanced Techniques,405.0
8208,8208,2017-06-21,Belgium,KaggleMart,Kaggle Advanced Techniques,350.0
8256,8256,2017-06-22,Belgium,KaggleMart,Kaggle Advanced Techniques,354.0
8304,8304,2017-06-23,Belgium,KaggleMart,Kaggle Advanced Techniques,408.0
8352,8352,2017-06-24,Belgium,KaggleMart,Kaggle Advanced Techniques,418.0
8400,8400,2017-06-25,Belgium,KaggleMart,Kaggle Advanced Techniques,439.0
8448,8448,2017-06-26,Belgium,KaggleMart,Kaggle Advanced Techniques,384.0
8496,8496,2017-06-27,Belgium,KaggleMart,Kaggle Advanced Techniques,374.0
8544,8544,2017-06-28,Belgium,KaggleMart,Kaggle Advanced Techniques,358.0
8592,8592,2017-06-29,Belgium,KaggleMart,Kaggle Advanced Techniques,406.0
8640,8640,2017-06-30,Belgium,KaggleMart,Kaggle Advanced Techniques,395.0
8688,8688,2017-07-01,Belgium,KaggleMart,Kaggle Advanced Techniques,438.0
8736,8736,2017-07-02,Belgium,KaggleMart,Kaggle Advanced Techniques,470.0
8784,8784,2017-07-03,Belgium,KaggleMart,Kaggle Advanced Techniques,390.0
8832,8832,2017-07-04,Belgium,KaggleMart,Kaggle Advanced Techniques,376.0
8880,8880,2017-07-05,Belgium,KaggleMart,Kaggle Advanced Techniques,376.0
8928,8928,2017-07-06,Belgium,KaggleMart,Kaggle Advanced Techniques,347.0
8976,8976,2017-07-07,Belgium,KaggleMart,Kaggle Advanced Techniques,373.0
9024,9024,2017-07-08,Belgium,KaggleMart,Kaggle Advanced Techniques,422.0
9072,9072,2017-07-09,Belgium,KaggleMart,Kaggle Advanced Techniques,464.0
9120,9120,2017-07-10,Belgium,KaggleMart,Kaggle Advanced Techniques,366.0
9168,9168,2017-07-11,Belgium,KaggleMart,Kaggle Advanced Techniques,377.0
9216,9216,2017-07-12,Belgium,KaggleMart,Kaggle Advanced Techniques,355.0
9264,9264,2017-07-13,Belgium,KaggleMart,Kaggle Advanced Techniques,372.0
9312,9312,2017-07-14,Belgium,KaggleMart,Kaggle Advanced Techniques,376.0
9360,9360,2017-07-15,Belgium,KaggleMart,Kaggle Advanced Techniques,417.0
9408,9408,2017-07-16,Belgium,KaggleMart,Kaggle Advanced Techniques,417.0
9456,9456,2017-07-17,Belgium,KaggleMart,Kaggle Advanced Techniques,330.0
9504,9504,2017-07-18,Belgium,KaggleMart,Kaggle Advanced Techniques,357.0
9552,9552,2017-07-19,Belgium,KaggleMart,Kaggle Advanced Techniques,357.0
9600,9600,2017-07-20,Belgium,KaggleMart,Kaggle Advanced Techniques,362.0
9648,9648,2017-07-21,Belgium,KaggleMart,Kaggle Advanced Techniques,380.0
9696,9696,2017-07-22,Belgium,KaggleMart,Kaggle Advanced Techniques,428.0
9744,9744,2017-07-23,Belgium,KaggleMart,Kaggle Advanced Techniques,428.0
9792,9792,2017-07-24,Belgium,KaggleMart,Kaggle Advanced Techniques,363.0
9840,9840,2017-07-25,Belgium,KaggleMart,Kaggle Advanced Techniques,393.0
9888,9888,2017-07-26,Belgium,KaggleMart,Kaggle Advanced Techniques,359.0
9936,9936,2017-07-27,Belgium,KaggleMart,Kaggle Advanced Techniques,404.0
9984,9984,2017-07-28,Belgium,KaggleMart,Kaggle Advanced Techniques,388.0
10032,10032,2017-07-29,Belgium,KaggleMart,Kaggle Advanced Techniques,431.0
10080,10080,2017-07-30,Belgium,KaggleMart,Kaggle Advanced Techniques,386.0
10128,10128,2017-07-31,Belgium,KaggleMart,Kaggle Advanced Techniques,382.0
10176,10176,2017-08-01,Belgium,KaggleMart,Kaggle Advanced Techniques,345.0
10224,10224,2017-08-02,Belgium,KaggleMart,Kaggle Advanced Techniques,329.0
10272,10272,2017-08-03,Belgium,KaggleMart,Kaggle Advanced Techniques,309.0
10320,10320,2017-08-04,Belgium,KaggleMart,Kaggle Advanced Techniques,318.0
10368,10368,2017-08-05,Belgium,KaggleMart,Kaggle Advanced Techniques,394.0
10416,10416,2017-08-06,Belgium,KaggleMart,Kaggle Advanced Techniques,402.0
10464,10464,2017-08-07,Belgium,KaggleMart,Kaggle Advanced Techniques,320.0
10512,10512,2017-08-08,Belgium,KaggleMart,Kaggle Advanced Techniques,325.0
10560,10560,2017-08-09,Belgium,KaggleMart,Kaggle Advanced Techniques,309.0
10608,10608,2017-08-10,Belgium,KaggleMart,Kaggle Advanced Techniques,340.0
10656,10656,2017-08-11,Belgium,KaggleMart,Kaggle Advanced Techniques,367.0
10704,10704,2017-08-12,Belgium,KaggleMart,Kaggle Advanced Techniques,388.0
10752,10752,2017-08-13,Belgium,KaggleMart,Kaggle Advanced Techniques,353.0
10800,10800,2017-08-14,Belgium,KaggleMart,Kaggle Advanced Techniques,322.0
10848,10848,2017-08-15,Belgium,KaggleMart,Kaggle Advanced Techniques,307.0
10896,10896,2017-08-16,Belgium,KaggleMart,Kaggle Advanced Techniques,347.0
10944,10944,2017-08-17,Belgium,KaggleMart,Kaggle Advanced Techniques,324.0
10992,10992,2017-08-18,Belgium,KaggleMart,Kaggle Advanced Techniques,358.0
11040,11040,2017-08-19,Belgium,KaggleMart,Kaggle Advanced Techniques,410.0
11088,11088,2017-08-20,Belgium,KaggleMart,Kaggle Advanced Techniques,401.0
11136,11136,2017-08-21,Belgium,KaggleMart,Kaggle Advanced Techniques,342.0
11184,11184,2017-08-22,Belgium,KaggleMart,Kaggle Advanced Techniques,326.0
11232,11232,2017-08-23,Belgium,KaggleMart,Kaggle Advanced Techniques,342.0
11280,11280,2017-08-24,Belgium,KaggleMart,Kaggle Advanced Techniques,322.0
11328,11328,2017-08-25,Belgium,KaggleMart,Kaggle Advanced Techniques,294.0
11376,11376,2017-08-26,Belgium,KaggleMart,Kaggle Advanced Techniques,361.0
11424,11424,2017-08-27,Belgium,KaggleMart,Kaggle Advanced Techniques,377.0
11472,11472,2017-08-28,Belgium,KaggleMart,Kaggle Advanced Techniques,308.0
11520,11520,2017-08-29,Belgium,KaggleMart,Kaggle Advanced Techniques,327.0
11568,11568,2017-08-30,Belgium,KaggleMart,Kaggle Advanced Techniques,317.0
11616,11616,2017-08-31,Belgium,KaggleMart,Kaggle Advanced Techniques,290.0
11664,11664,2017-09-01,Belgium,KaggleMart,Kaggle Advanced Techniques,328.0
11712,11712,2017-09-02,Belgium,KaggleMart,Kaggle Advanced Techniques,335.0
11760,11760,2017-09-03,Belgium,KaggleMart,Kaggle Advanced Techniques,343.0
11808,11808,2017-09-04,Belgium,KaggleMart,Kaggle Advanced Techniques,316.0
11856,11856,2017-09-05,Belgium,KaggleMart,Kaggle Advanced Techniques,298.0
11904,11904,2017-09-06,Belgium,KaggleMart,Kaggle Advanced Techniques,303.0
11952,11952,2017-09-07,Belgium,KaggleMart,Kaggle Advanced Techniques,297.0
12000,12000,2017-09-08,Belgium,KaggleMart,Kaggle Advanced Techniques,310.0
12048,12048,2017-09-09,Belgium,KaggleMart,Kaggle Advanced Techniques,347.0
12096,12096,2017-09-10,Belgium,KaggleMart,Kaggle Advanced Techniques,326.0
12144,12144,2017-09-11,Belgium,KaggleMart,Kaggle Advanced Techniques,314.0
12192,12192,2017-09-12,Belgium,KaggleMart,Kaggle Advanced Techniques,283.0
12240,12240,2017-09-13,Belgium,KaggleMart,Kaggle Advanced Techniques,276.0
12288,12288,2017-09-14,Belgium,KaggleMart,Kaggle Advanced Techniques,315.0
12336,12336,2017-09-15,Belgium,KaggleMart,Kaggle Advanced Techniques,285.0
12384,12384,2017-09-16,Belgium,KaggleMart,Kaggle Advanced Techniques,354.0
12432,12432,2017-09-17,Belgium,KaggleMart,Kaggle Advanced Techniques,334.0
12480,12480,2017-09-18,Belgium,KaggleMart,Kaggle Advanced Techniques,293.0
12528,12528,2017-09-19,Belgium,KaggleMart,Kaggle Advanced Techniques,297.0
12576,12576,2017-09-20,Belgium,KaggleMart,Kaggle Advanced Techniques,277.0
12624,12624,2017-09-21,Belgium,KaggleMart,Kaggle Advanced Techniques,287.0
12672,12672,2017-09-22,Belgium,KaggleMart,Kaggle Advanced Techniques,303.0
12720,12720,2017-09-23,Belgium,KaggleMart,Kaggle Advanced Techniques,342.0
12768,12768,2017-09-24,Belgium,KaggleMart,Kaggle Advanced Techniques,336.0
12816,12816,2017-09-25,Belgium,KaggleMart,Kaggle Advanced Techniques,281.0
12864,12864,2017-09-26,Belgium,KaggleMart,Kaggle Advanced Techniques,288.0
12912,12912,2017-09-27,Belgium,KaggleMart,Kaggle Advanced Techniques,288.0
12960,12960,2017-09-28,Belgium,KaggleMart,Kaggle Advanced Techniques,303.0
13008,13008,2017-09-29,Belgium,KaggleMart,Kaggle Advanced Techniques,302.0
13056,13056,2017-09-30,Belgium,KaggleMart,Kaggle Advanced Techniques,353.0
13104,13104,2017-10-01,Belgium,KaggleMart,Kaggle Advanced Techniques,343.0
13152,13152,2017-10-02,Belgium,KaggleMart,Kaggle Advanced Techniques,292.0
13200,13200,2017-10-03,Belgium,KaggleMart,Kaggle Advanced Techniques,305.0
13248,13248,2017-10-04,Belgium,KaggleMart,Kaggle Advanced Techniques,294.0
13296,13296,2017-10-05,Belgium,KaggleMart,Kaggle Advanced Techniques,281.0
13344,13344,2017-10-06,Belgium,KaggleMart,Kaggle Advanced Techniques,304.0
13392,13392,2017-10-07,Belgium,KaggleMart,Kaggle Advanced Techniques,333.0
13440,13440,2017-10-08,Belgium,KaggleMart,Kaggle Advanced Techniques,312.0
13488,13488,2017-10-09,Belgium,KaggleMart,Kaggle Advanced Techniques,282.0
13536,13536,2017-10-10,Belgium,KaggleMart,Kaggle Advanced Techniques,296.0
13584,13584,2017-10-11,Belgium,KaggleMart,Kaggle Advanced Techniques,303.0
13632,13632,2017-10-12,Belgium,KaggleMart,Kaggle Advanced Techniques,279.0
13680,13680,2017-10-13,Belgium,KaggleMart,Kaggle Advanced Techniques,300.0
13728,13728,2017-10-14,Belgium,KaggleMart,Kaggle Advanced Techniques,313.0
13776,13776,2017-10-15,Belgium,KaggleMart,Kaggle Advanced Techniques,326.0
13824,13824,2017-10-16,Belgium,KaggleMart,Kaggle Advanced Techniques,306.0
13872,13872,2017-10-17,Belgium,KaggleMart,Kaggle Advanced Techniques,296.0
13920,13920,2017-10-18,Belgium,KaggleMart,Kaggle Advanced Techniques,312.0
13968,13968,2017-10-19,Belgium,KaggleMart,Kaggle Advanced Techniques,301.0
14016,14016,2017-10-20,Belgium,KaggleMart,Kaggle Advanced Techniques,302.0
14064,14064,2017-10-21,Belgium,KaggleMart,Kaggle Advanced Techniques,342.0
14112,14112,2017-10-22,Belgium,KaggleMart,Kaggle Advanced Techniques,343.0
14160,14160,2017-10-23,Belgium,KaggleMart,Kaggle Advanced Techniques,284.0
14208,14208,2017-10-24,Belgium,KaggleMart,Kaggle Advanced Techniques,279.0
14256,14256,2017-10-25,Belgium,KaggleMart,Kaggle Advanced Techniques,271.0
14304,14304,2017-10-26,Belgium,KaggleMart,Kaggle Advanced Techniques,291.0
14352,14352,2017-10-27,Belgium,KaggleMart,Kaggle Advanced Techniques,304.0
14400,14400,2017-10-28,Belgium,KaggleMart,Kaggle Advanced Techniques,346.0
14448,14448,2017-10-29,Belgium,KaggleMart,Kaggle Advanced Techniques,399.0
14496,14496,2017-10-30,Belgium,KaggleMart,Kaggle Advanced Techniques,286.0
14544,14544,2017-10-31,Belgium,KaggleMart,Kaggle Advanced Techniques,276.0
14592,14592,2017-11-01,Belgium,KaggleMart,Kaggle Advanced Techniques,306.0
14640,14640,2017-11-02,Belgium,KaggleMart,Kaggle Advanced Techniques,300.0
14688,14688,2017-11-03,Belgium,KaggleMart,Kaggle Advanced Techniques,355.0
14736,14736,2017-11-04,Belgium,KaggleMart,Kaggle Advanced Techniques,413.0
14784,14784,2017-11-05,Belgium,KaggleMart,Kaggle Advanced Techniques,400.0
14832,14832,2017-11-06,Belgium,KaggleMart,Kaggle Advanced Techniques,354.0
14880,14880,2017-11-07,Belgium,KaggleMart,Kaggle Advanced Techniques,343.0
14928,14928,2017-11-08,Belgium,KaggleMart,Kaggle Advanced Techniques,324.0
14976,14976,2017-11-09,Belgium,KaggleMart,Kaggle Advanced Techniques,308.0
15024,15024,2017-11-10,Belgium,KaggleMart,Kaggle Advanced Techniques,327.0
15072,15072,2017-11-11,Belgium,KaggleMart,Kaggle Advanced Techniques,345.0
15120,15120,2017-11-12,Belgium,KaggleMart,Kaggle Advanced Techniques,377.0
15168,15168,2017-11-13,Belgium,KaggleMart,Kaggle Advanced Techniques,377.0
15216,15216,2017-11-14,Belgium,KaggleMart,Kaggle Advanced Techniques,313.0
15264,15264,2017-11-15,Belgium,KaggleMart,Kaggle Advanced Techniques,348.0
15312,15312,2017-11-16,Belgium,KaggleMart,Kaggle Advanced Techniques,381.0
15360,15360,2017-11-17,Belgium,KaggleMart,Kaggle Advanced Techniques,397.0
15408,15408,2017-11-18,Belgium,KaggleMart,Kaggle Advanced Techniques,403.0
15456,15456,2017-11-19,Belgium,KaggleMart,Kaggle Advanced Techniques,384.0
15504,15504,2017-11-20,Belgium,KaggleMart,Kaggle Advanced Techniques,317.0
15552,15552,2017-11-21,Belgium,KaggleMart,Kaggle Advanced Techniques,331.0
