0,mark,prod,date
28,436.781,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-29
29,436.81866,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-30
30,436.71887,KaggleMart,Kaggle for Kids: One Smart Goose,2020-01-31
31,436.51273,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-01
32,436.61295,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-02
33,436.5438,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-03
34,436.46188,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-04
35,436.37216,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-05
36,436.27942,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-06
37,436.18607,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-07
38,436.0933,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-08
39,436.00165,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-09
40,435.91122,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-10
41,435.82153,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-11
42,435.73138,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-12
43,435.63986,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-13
44,435.54675,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-14
45,435.4514,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-15
46,435.35236,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-16
47,435.24942,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-17
48,435.14203,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-18
49,435.03024,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-19
50,434.91434,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-20
51,434.79504,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-21
52,434.67334,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-22
53,434.55038,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-23
54,434.4276,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-24
55,434.30396,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-25
56,434.1801,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-26
57,434.0728,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-27
58,433.9999,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-28
59,433.9452,KaggleMart,Kaggle for Kids: One Smart Goose,2020-02-29
60,433.89667,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-01
61,433.92804,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-02
62,433.8842,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-03
63,433.8565,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-04
64,433.8594,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-05
65,433.88715,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-06
66,433.93478,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-07
67,433.9986,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-08
68,434.07574,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-09
69,434.164,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-10
70,434.26178,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-11
71,434.36758,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-12
72,434.48044,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-13
73,434.5992,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-14
74,434.72324,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-15
75,434.8518,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-16
76,434.98444,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-17
77,435.12128,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-18
78,435.26196,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-19
79,435.40637,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-20
80,435.5545,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-21
81,435.7066,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-22
82,435.86285,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-23
83,436.0235,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-24
84,436.1889,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-25
85,436.3606,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-26
86,436.5383,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-27
87,436.7216,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-28
88,436.9094,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-29
89,437.11353,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-30
90,437.3349,KaggleMart,Kaggle for Kids: One Smart Goose,2020-03-31
91,437.5605,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-01
92,437.86218,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-02
93,438.0761,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-03
94,438.32733,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-04
95,438.60425,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-05
96,438.89987,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-06
97,439.20877,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-07
98,439.52692,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-08
99,439.85132,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-09
100,440.18005,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-10
101,440.51193,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-11
102,440.8464,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-12
103,441.18344,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-13
104,441.52322,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-14
105,441.86624,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-15
106,442.21307,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-16
107,442.5641,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-17
108,442.91934,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-18
109,443.27908,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-19
110,443.64322,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-20
111,444.01172,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-21
112,444.38443,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-22
113,444.76147,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-23
114,445.14304,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-24
115,445.53113,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-25
116,445.92584,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-26
117,446.32803,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-27
118,446.73834,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-28
119,447.1564,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-29
120,447.58252,KaggleMart,Kaggle for Kids: One Smart Goose,2020-04-30
121,448.01562,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-01
122,448.55667,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-02
123,448.9773,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-03
124,449.4296,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-04
125,449.90292,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-05
126,450.3916,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-06
127,450.89133,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-07
128,451.3992,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-08
129,451.9133,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-09
130,452.43253,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-10
131,452.95636,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-11
132,453.48447,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-12
133,454.017,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-13
134,454.5541,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-14
135,455.09604,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-15
136,455.6431,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-16
137,456.19556,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-17
138,456.75385,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-18
139,457.31842,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-19
140,457.88986,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-20
141,458.469,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-21
142,459.05673,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-22
143,459.65417,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-23
144,460.26248,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-24
145,460.88202,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-25
146,461.51266,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-26
147,462.15695,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-27
148,462.8166,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-28
149,463.49188,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-29
150,464.181,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-30
151,464.87802,KaggleMart,Kaggle for Kids: One Smart Goose,2020-05-31
152,465.58243,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-01
153,466.4279,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-02
154,467.12256,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-03
155,467.86093,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-04
156,468.631,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-05
157,469.42764,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-06
158,470.2467,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-07
159,471.0859,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-08
160,471.94382,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-09
161,472.82007,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-10
162,473.7151,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-11
163,474.6297,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-12
164,475.5651,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-13
165,476.5226,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-14
166,477.50363,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-15
167,478.50964,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-16
168,479.54218,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-17
169,480.6031,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-18
170,481.69434,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-19
171,482.8185,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-20
172,483.9786,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-21
173,485.17838,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-22
174,486.42166,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-23
175,487.70126,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-24
176,489.0274,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-25
177,490.39383,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-26
178,491.8122,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-27
179,493.28757,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-28
180,494.81876,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-29
181,496.39413,KaggleMart,Kaggle for Kids: One Smart Goose,2020-06-30
182,498.0005,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-01
183,499.79163,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-02
184,501.4242,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-03
185,503.14462,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-04
186,504.93707,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-05
187,506.79483,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-06
188,508.70047,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-07
189,510.66254,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-08
190,512.67847,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-09
191,514.7459,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-10
192,516.8756,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-11
193,519.0304,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-12
194,521.2228,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-13
195,523.5099,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-14
196,525.8607,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-15
197,528.253,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-16
198,530.6996,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-17
199,533.18646,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-18
200,535.68036,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-19
201,538.2228,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-20
202,540.86456,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-21
203,543.42725,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-22
204,546.06757,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-23
205,548.73474,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-24
206,551.5333,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-25
207,554.517,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-26
208,557.8356,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-27
209,561.7072,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-28
210,565.9112,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-29
211,570.5036,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-30
212,575.53076,KaggleMart,Kaggle for Kids: One Smart Goose,2020-07-31
213,581.07117,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-01
214,587.5292,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-02
215,593.97906,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-03
216,601.0917,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-04
217,609.0266,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-05
218,617.9638,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-06
219,628.14417,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-07
220,639.8416,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-08
221,653.4882,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-09
222,669.49146,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-10
223,688.3898,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-11
224,710.94885,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-12
225,738.3418,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-13
226,771.90875,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-14
227,813.53375,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-15
228,865.8203,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-16
229,932.2763,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-17
230,1017.56177,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-18
231,1127.6718,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-19
232,1270.2212,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-20
233,1453.678,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-21
234,1686.9182,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-22
235,1980.1191,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-23
236,2346.1357,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-24
237,2800.9666,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-25
238,3363.9756,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-26
239,4058.6768,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-27
240,4910.594,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-28
241,5952.3213,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-29
242,7232.883,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-30
243,8782.708,KaggleMart,Kaggle for Kids: One Smart Goose,2020-08-31
244,10650.438,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-01
245,12896.251,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-02
246,15597.023,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-03
247,18857.99,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-04
248,22805.133,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-05
249,27586.963,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-06
250,33377.824,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-07
251,40397.996,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-08
252,48888.81,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-09
253,59186.93,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-10
254,71663.65,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-11
255,86766.85,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-12
256,105052.22,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-13
257,127185.695,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-14
258,154039.16,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-15
259,186525.55,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-16
260,225819.17,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-17
261,273325.88,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-18
262,330738.28,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-19
263,400255.72,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-20
264,484611.44,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-21
265,586751.25,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-22
266,710766.5,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-23
267,850270.4,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-24
268,1032564.56,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-25
269,1251572.6,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-26
270,1514365.5,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-27
271,1843767.5,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-28
272,2206476.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-29
273,2725768.2,KaggleMart,Kaggle for Kids: One Smart Goose,2020-09-30
274,3276863.8,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-01
275,3970435.5,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-02
276,4872453.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-03
277,5877800.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-04
278,7265562.5,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-05
279,8854562.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-06
280,10753042.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-07
281,13086572.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-08
282,15948359.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-09
283,19380280.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-10
284,23445872.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-11
285,28367218.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-12
286,34346220.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-13
287,41344044.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-14
288,50448880.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-15
289,61234520.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-16
290,74804620.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-17
291,90348696.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-18
292,110527610.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-19
293,133166550.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-20
294,162444200.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-21
295,197203520.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-22
296,238161940.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-23
297,287690370.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-24
298,350305660.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-25
299,423202750.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-26
300,510672480.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-27
301,618830100.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-28
302,749791550.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-29
303,908572860.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-30
304,1100721000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-10-31
305,1333805800.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-01
306,1615737600.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-02
307,1998177300.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-03
308,2447427000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-04
309,2955723500.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-05
310,3614065700.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-06
311,4306226700.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-07
312,5320183300.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-08
313,6470627300.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-09
314,7866961400.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-10
315,9523475000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-11
316,11353702000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-12
317,13809976000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-13
318,16779522000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-14
319,20442368000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-15
320,24808640000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-16
321,29885706000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-17
322,36284654000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-18
323,43985908000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-19
324,55717410000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-20
325,65777107000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-21
326,79866905000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-22
327,97561140000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-23
328,117091220000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-24
329,141587270000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-25
330,171740460000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-26
331,208848800000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-27
332,251391590000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-28
333,306148900000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-29
334,378074200000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-11-30
335,449264900000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-01
336,549607000000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-02
337,665256200000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-03
338,809131250000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-04
339,1000640800000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-05
340,1211247000000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-06
341,1468937400000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-07
342,1764106400000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-08
343,2170084000000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-09
344,2602394700000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-10
345,3145747400000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-11
346,3815650400000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-12
347,4601006000000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-13
348,5631334000000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-14
349,6832799000000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-15
350,8295805000000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-16
351,9974808000000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-17
352,12201207000000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-18
353,14957105000000.0,KaggleMart,Kaggle for Kids: One Smart Goose,2020-12-19
